To,control,mp
ENSG00000280071,1.444,0.977
ENSG00000225973,0.7793333333333333,0.7010000000000001
ENSG00000204272,0.985,0.9283333333333333
ENSG00000126005,1.0953333333333333,0.9860000000000001
ENSG00000236444,0.3506666666666667,0.3353333333333333
ENSG00000240445,0.6576666666666666,0.5353333333333333
ENSG00000163694,1.1849999999999998,1.043
ENSG00000105948,0.7366666666666667,0.7559999999999999
ENSG00000033178,1.167,0.9790000000000001
ENSG00000117868,1.1743333333333332,1.0730000000000002
ENSG00000156603,0.7120000000000001,0.6469999999999999
ENSG00000187164,1.0976666666666668,0.7446666666666667
ENSG00000105135,1.146,1.1326666666666667
ENSG00000224877,0.8649999999999999,0.8563333333333333
ENSG00000174705,1.1749999999999998,1.0010000000000001
ENSG00000151779,1.111,1.0890000000000002
ENSG00000185418,1.0966666666666667,1.256
ENSG00000084444,1.1176666666666666,1.1516666666666666
ENSG00000102763,0.3506666666666667,0.3353333333333333
ENSG00000139697,0.9970000000000002,1.1223333333333334
ENSG00000105793,1.1403333333333334,0.9089999999999999
ENSG00000105875,0.6363333333333333,0.7156666666666666
ENSG00000167987,1.015,0.9303333333333333
ENSG00000113597,0.977,0.9633333333333333
ENSG00000125107,1.113,0.9906666666666667
,0.25433333333333336,4.6963333333333335
ENSG00000204128,0.3746666666666667,0.3183333333333333
ENSG00000188522,0.2836666666666667,0.2803333333333333
ENSG00000187867,0.24666666666666667,0.2856666666666667
ENSG00000184207,1.1896666666666667,0.819
ENSG00000205765,0.94,1.096
ENSG00000166965,1.1343333333333334,1.0766666666666669
ENSG00000122574,0.6706666666666666,0.6583333333333333
ENSG00000178462,1.3193333333333335,0.9106666666666666
ENSG00000101596,1.3813333333333333,0.8826666666666667
ENSG00000175970,1.2066666666666666,1.043
ENSG00000169519,0.932,1.024
ENSG00000205476,0.9039999999999999,1.0490000000000002
ENSG00000134590,0.843,1.026
ENSG00000214655,1.2670000000000001,1.0803333333333334
ENSG00000272391,1.0366666666666668,0.922
ENSG00000169689,1.0256666666666667,1.1483333333333334
